"","periodo","provincia","departamento","titulares","titulares_por2","mes","anio","mes_n"
"1062",2020-11-01,"Misiones","San Ignacio",170,340,"noviembre",2020,11
"1063",2020-12-01,"Misiones","Iguazú",173,346,"diciembre",2020,12
"1064",2021-04-01,"Misiones","General Manuel Belgrano",176,352,"abril",2021,4
"1065",2021-07-01,"Misiones","Apóstoles",176,352,"julio",2021,7
"1066",2021-10-01,"Misiones","Apóstoles",176,352,"octubre",2021,10
"1067",2021-08-01,"Misiones","Apóstoles",177,354,"agosto",2021,8
"1068",2021-09-01,"Misiones","Apóstoles",177,354,"septiembre",2021,9
"1069",2021-01-01,"Misiones","Iguazú",180,360,"enero",2021,1
"1070",2020-12-01,"Misiones","San Ignacio",182,364,"diciembre",2020,12
"1071",2021-11-01,"Misiones","Apóstoles",183,366,"noviembre",2021,11
"1072",2021-12-01,"Misiones","Oberá",183,366,"diciembre",2021,12
"1073",2020-12-01,"Misiones","Candelaria",185,370,"diciembre",2020,12
"1074",2021-02-01,"Misiones","Iguazú",186,372,"febrero",2021,2
"1075",2021-03-01,"Misiones","Iguazú",186,372,"marzo",2021,3
"1076",2021-12-01,"Misiones","Apóstoles",186,372,"diciembre",2021,12
"1077",2020-07-01,"Misiones","General Manuel Belgrano",191,382,"julio",2020,7
"1078",2021-04-01,"Misiones","Cainguás",192,384,"abril",2021,4
"1079",2021-04-01,"Misiones","Libertador General San Martín",192,384,"abril",2021,4
"1080",2020-03-01,"Misiones","General Manuel Belgrano",193,386,"marzo",2020,3
"1081",2020-04-01,"Misiones","General Manuel Belgrano",193,386,"abril",2020,4
"1082",2020-05-01,"Misiones","General Manuel Belgrano",193,386,"mayo",2020,5
"1083",2020-06-01,"Misiones","General Manuel Belgrano",193,386,"junio",2020,6
"1084",2021-11-01,"Misiones","Guaraní",193,386,"noviembre",2021,11
"1085",2021-04-01,"Misiones","Iguazú",194,388,"abril",2021,4
"1086",2020-09-01,"Misiones","General Manuel Belgrano",195,390,"septiembre",2020,9
"1087",2020-08-01,"Misiones","General Manuel Belgrano",196,392,"agosto",2020,8
"1088",2021-12-01,"Misiones","Guaraní",201,402,"diciembre",2021,12
"1089",2021-01-01,"Misiones","San Ignacio",204,408,"enero",2021,1
"1090",2021-05-01,"Misiones","Montecarlo",205,410,"mayo",2021,5
"1091",2021-06-01,"Misiones","Montecarlo",206,412,"junio",2021,6
"1092",2021-06-01,"Misiones","Libertador General San Martín",209,418,"junio",2021,6
"1093",2021-05-01,"Misiones","Libertador General San Martín",210,420,"mayo",2021,5
"1094",2021-05-01,"Misiones","Oberá",210,420,"mayo",2021,5
"1095",2021-06-01,"Misiones","Oberá",210,420,"junio",2021,6
"1096",2021-01-01,"Misiones","Leandro N. Alem",211,422,"enero",2021,1
"1097",2021-05-01,"Misiones","Cainguás",211,422,"mayo",2021,5
"1098",2021-06-01,"Misiones","Cainguás",215,430,"junio",2021,6
"1099",2021-08-01,"Misiones","Oberá",216,432,"agosto",2021,8
"1100",2021-09-01,"Misiones","Oberá",216,432,"septiembre",2021,9
"1101",2021-02-01,"Misiones","Leandro N. Alem",217,434,"febrero",2021,2
"1102",2021-02-01,"Misiones","San Ignacio",217,434,"febrero",2021,2
"1103",2021-03-01,"Misiones","San Ignacio",217,434,"marzo",2021,3
"1104",2021-07-01,"Misiones","Oberá",217,434,"julio",2021,7
"1105",2021-10-01,"Misiones","Oberá",217,434,"octubre",2021,10
"1106",2021-03-01,"Misiones","Leandro N. Alem",218,436,"marzo",2021,3
"1107",2021-11-01,"Misiones","Oberá",221,442,"noviembre",2021,11
"1108",2021-07-01,"Misiones","Montecarlo",224,448,"julio",2021,7
"1109",2020-11-01,"Misiones","General Manuel Belgrano",226,452,"noviembre",2020,11
"1110",2020-07-01,"Misiones","Iguazú",227,454,"julio",2020,7
"1111",2020-10-01,"Misiones","General Manuel Belgrano",227,454,"octubre",2020,10
