,created_at,text,id,author_id
49,2022-01-26T20:56:30.000Z,"#TodasTienenGrafeno
#Microcircuitos
#CrimenesDeLesaHumanidad
#Genocidio
#PaseSanitario https://t.co/9TsmtkHFYX",1486442951165333505,1302744389853290497
50,2022-01-26T20:55:50.000Z,"📰 La Universidad Nacional de La Matanza (UNLM) y dos sedes de la Universidad Tecnológica Nacional (UTN) decidieron exigir el #PaseSanitario a sus alumnos para la asistencia a las #ClasesPresenciales a partir de enero
Para saber más ingresa en 👇👇👇👇 https://t.co/hm0LbPW5vA",1486442779530215424,1249817424242921472
51,2022-01-26T20:54:32.000Z,"#TodasTienenGrafeno
#Microcircuitos
#CrimenesDeLesaHumanidad
#Genocidio
#PaseSanitario https://t.co/wMhu0hs4Yc",1486442455180484608,1302744389853290497
52,2022-01-26T20:51:51.000Z,"✋Desde mañana se exigirá el pase sanitario en micros de media y larga distancia en la Provincia
@nkreplak @BAProvincia @TransportePBA @SaludBAP @donofriojorge #PaseSanitario 
La información completa a continuación👇👇👇👇
https://t.co/9EQVTL0Iy8",1486441778433646598,1230632027944296449
53,2022-01-26T20:49:30.000Z,En el caribe les pedirán #PaseSanitario a nuestros políticos?,1486441188152381442,616751934
54,2022-01-26T20:47:03.000Z,#PaseSanitario El pase sanitario se exigirá desde mañana para los pasajes que se vendan a partir de hoy. Incertidumbre en las combis #ElDiarioSur https://t.co/C6UdPQoTol,1486440571593887744,2833828077
55,2022-01-26T20:45:40.000Z,"#PaseSanitario
#COVID19 
8 Países en el mundo con una población similar de 40 a 50 millones de habitantes .
Cov19 
Cantidad de muertes por País ?
Cuales son los 3 paises que más vacunas suministraron???
AVERIGUA....
Las conclusiones las dejo a tu criterio . https://t.co/aMgsV5Wz7V",1486440221042298883,1390545025898098690
56,2022-01-26T20:45:34.000Z,"#PaseSanitario
Todos los mayores de 13 años deberán acreditar al menos dos dosis de la vacuna contra la Covid-19.
https://t.co/cQvtckVM69",1486440195578806272,191577665
57,2022-01-26T20:45:18.000Z,"En los canales de TV no piden #PaseSanitario ?
Nose contagian tampoco..... todos contagiados menos los canales de aire????  raaaarooooo",1486440128591855616,1063376760
58,2022-01-26T20:38:15.000Z,SI al #PaseSanitario y a la #VacunaCOVID19  obligatoria,1486438355659157505,3809896767
59,2022-01-26T20:38:08.000Z,"Con  pase Sanitario  obligan a las personas a vacunarse. Esta medida viola: CNA: arts; 19,28,29 y 33. CCyCA: arts; 51,52,55,56,58,59 y 1757. Leyes 27491,27573 y 26529 arts: 2,5 y 21, y Normas internacionales p ej: Nurenberg  1947 #PaseSanitario",1486438328257810436,3867314603
60,2022-01-26T20:32:57.000Z,@gatorzac_ @guillefontana @anti_mandiok @galitachiss @minadmierda Autoritario es este gobierno por exigir hoy en #PaseSanitario,1486437021228797952,200553328
61,2022-01-26T20:32:06.000Z,"#PaseSanitario 

  🎯 Inyectados con refuerzo con menos miedo a SARSCOV2 que los inyectados sin refuerzo...pero ambos muy atemorizados de enfermar de #COVID19

Los ""no vacunados"" con mucho menos temor... https://t.co/lhWlpZOk4O",1486436810431647748,700464940151230464
62,2022-01-26T20:31:11.000Z,"Para esto el Gobierno de Alberto Fernández no pide #PaseSanitario ??!!! 
Caos Incidentes Boca -San Lorenzo  

Quieren terminar con la #pandemia ?? 
-Sin Distancia social 
-Sin Barbijo 
-Sin #PaseSanitario?
Varios hinchas heridos por enfrentameintos con la Policía https://t.co/hQWC3C974a",1486436576766808064,200553328
63,2022-01-26T20:30:44.000Z,"Tampoco lograron hacerle los estudios en el hospital Horacio Ferro porque el equipo de rayos está roto.
La mujer está siendo trasladada en estos momentos en una camioneta particular.

Fuente: Radio Azul.
 
@Kicillofok 
@todonoticias 
#PaseSanitario el estado te RE CUIDA.",1486436465303248901,387348161
64,2022-01-26T20:29:31.000Z,#TodasLasVacunasCuentan #TodasTieneGrafeno #PaseSanitario #NoAlPaseSanitarioArgentina https://t.co/OwxZ0fuh1w,1486436156875100160,1318008782237192193
65,2022-01-26T20:24:03.000Z,"Quisiera  ver listado de tod@s los funcionarios políticos,  nacional, provincial y municipal con  esquema vacunación  completo #PaseSanitario",1486434784817549312,940418164428599297
66,2022-01-26T20:21:41.000Z,#PaseSanitario por qué este Comunista no pide un #PaseSanitario en las agencias de loterías y en las universidades... https://t.co/DrGpoQdrYg,1486434186772684800,723306695850647552
67,2022-01-26T20:20:04.000Z,"Su hijo recibió la vacuna Moderna y internaron en UTI y ahora reclama respuestas. Hemos denunciado la situación en la ANMAT, también ante las autoridades de la Provincia pero no han recibido respuesta.
No al #PaseSanitario y no a la #VacunacionObligatoria https://t.co/XR16fE0eeJ",1486433781493813251,196648193
68,2022-01-26T20:17:23.000Z,#pasesanitario #grafeno #paseNazitario genocidio sanitario  ya me tocó los cojones demasiado !!,1486433105556738057,169953117
69,2022-01-26T20:15:44.000Z,"@Luis_MCMLXVII @nkreplak Ni mencionemos el amasijo en el estadio de La Plata anoche, durante el partido San Lorenzo/Boca, por poner un caso. Con los binoculares del maputrucho vi que todos los barras en cuero, parados en el paravalancha, tenían el #PaseSanitario, plastificado y todo.",1486432690941272066,543026064
70,2022-01-26T20:14:55.000Z,Q locura llegar a esto. #PaseSanitario https://t.co/1h4sSGioQx,1486432484694716418,977930332602290176
71,2022-01-26T20:10:57.000Z,"@nkreplak Pelele, la vacuna NO es obligatoria (ni puede serlo), por lo tanto solamente un gobierno de BURROS puede insistir con el dichoso #PaseSanitario . Yo me vacuné y tengo mi comprobante, pero NO tengo obligación de mostrárselo a nadie y no lo haré.",1486431485116977153,543026064
72,2022-01-26T20:07:40.000Z,"#TodasTienenGrafeno
#Microcircuitos
#CrimenesDeLesaHumanidad
#Genocidio
#PaseSanitario https://t.co/RfwD13gQUt",1486430661317730308,1302744389853290497
73,2022-01-26T20:06:14.000Z,".@nkreplak,  al comprar el pasaje, se presenta el DNI. 
Tan INEPTOS son que no pueden cruzar las Bases de Datos y saber si ese DNI tiene esquema completo de Vacunación ?
Hacemos una App para hacer ese cruzamiento ?
Vamo y Vamo... 😉

#PaseSanitario 
 
https://t.co/nvKrnmetYG https://t.co/HLVbnwefHW",1486430300876021765,911242740
74,2022-01-26T20:06:08.000Z,"Respeto la decisión de inyectarse con un producto en desarrollo, respeten a quienes prefieren los hechos científicos y los estudios de largo plazo. 

No al #PaseSanitario",1486430273034203140,1280149388829102080
75,2022-01-26T20:05:54.000Z,@VivianaaFerrari Y aclaro que estoy vacunado con tres dosis y estoy en contra del #PaseSanitario. Es un absurdo,1486430216545345536,1286629976792539137
76,2022-01-26T20:04:34.000Z,"Por favor RT RT RT
Comunicado de docentes e intimación a las autoridades que exijan el #PaseSanitario 
https://t.co/VXHvhGj9yF a través de @Periodismo&amp;gt;",1486429878727684104,2976604311
77,2022-01-26T20:04:33.000Z,#PaseSanitario https://t.co/KVhsqE7q7I,1486429875925880836,2904532971
78,2022-01-26T20:03:10.000Z,"No al #PaseSanitario 
#NoAlPaseSanitario 
#noalavacunaobligatoria https://t.co/Mi5J8v2Oid",1486429526389313542,1170144804883378177
79,2022-01-26T20:01:21.000Z,#PaseSanitario Estudiantes de Filosofía y Letras de la UBA exigen el pase sanitario obligatorio cuando apenas si se bañan una vez por semana… https://t.co/3V2XDAkE9T,1486429068803280896,832624923688341508
80,2022-01-26T19:58:55.000Z,"Docentes intiman a quienes exijan el #PaseSanitario 
Es por ahí.

https://t.co/6vbsN0UoQN",1486428457315749891,15377374
81,2022-01-26T19:57:40.000Z,"#3FPorUnaJusticiaIndependiente  JUSTICIAAA!
Es injusto que toquen la Independencia de Poderes. 
Es injusto el #PaseSanitario 
Es injusto que cobren 200   o 300 mil pesos LADRONES como DÉlía y los abuelos no tengan qué comer.
Es injusto que ellos veraneen con la nuestra. #3FYoVoy https://t.co/p68lvXkcQd",1486428142726266885,3766471828
82,2022-01-26T19:57:30.000Z,"Están desesperados por coaccionar a los últimos posibles, quieren eliminar el Grupo de control y la inmunidad de rebaño 
#Grafeno #TodasTienenGrafeno #PaseSanitario #NoAlPaseSanitario https://t.co/rblZWckXyV",1486428100304977926,1481258961177296899
83,2022-01-26T19:52:44.000Z,#NoAlPaseSanitarioArgentina #PaseSanitario #todastienengrafeno https://t.co/IY1d87lRuS,1486426900725645315,1318008782237192193
